City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Avera,US,33.194,-82.5271,75.94,55,100,17.29,overcast clouds
221,Tigil,RU,57.8,158.6667,-0.27,95,89,1.19,overcast clouds
222,Teya,RU,60.3778,92.6267,15.4,89,100,9.53,overcast clouds
223,Esperance,AU,-33.8667,121.9,62.44,77,0,16.28,clear sky
224,Adrar,MR,20.5022,-10.0711,70.47,12,0,10.11,clear sky
225,Revelstoke,CA,50.9832,-118.2023,17.62,93,100,0.0,overcast clouds
226,Faya,SA,18.3851,42.4509,59.11,71,7,3.51,clear sky
227,Souillac,MU,-20.5167,57.5167,80.98,89,75,25.32,light rain
228,Bac Lieu,VN,9.285,105.7244,77.61,83,11,18.34,few clouds
229,Hobyo,SO,5.3505,48.5268,77.56,72,14,19.04,few clouds
230,Rimini,IT,44.0241,12.5186,49.14,69,0,5.01,clear sky
231,Berezivka,UA,47.2043,30.9078,29.66,81,90,15.73,overcast clouds
232,Meulaboh,ID,4.1363,96.1285,75.81,86,97,4.12,overcast clouds
233,Kalemie,CD,-5.9475,29.1947,70.47,89,100,5.73,light rain
234,Khani,GE,41.9563,42.9566,38.77,73,44,9.06,scattered clouds
235,Tiznit,MA,29.5833,-9.5,65.25,36,100,1.81,overcast clouds
236,Namibe,AO,-15.1961,12.1522,74.26,70,2,11.27,clear sky
237,Krasnoselkup,RU,65.7,82.4667,7.75,96,99,8.9,overcast clouds
238,Humberto De Campos,BR,-2.5983,-43.4611,85.08,67,57,8.68,broken clouds
239,Phalaborwa,ZA,-23.943,31.1411,84.31,43,0,5.21,clear sky
240,Kirakira,SB,-10.4544,161.9205,78.17,89,100,5.93,overcast clouds
241,San Patricio,US,28.017,-97.5169,40.89,76,100,19.84,overcast clouds
242,Drayton Valley,CA,53.2168,-114.9854,-1.08,88,100,4.79,light snow
243,Saint-Augustin,CA,51.226,-58.6502,33.64,99,100,16.75,light snow
244,Jumla,NP,29.2747,82.1838,34.3,97,100,5.44,snow
245,Tagusao,PH,9.1924,117.8141,77.81,80,16,1.88,few clouds
246,Broken Hill,AU,-31.95,141.4333,60.51,51,0,12.66,clear sky
247,Altamira,BR,-3.2033,-52.2064,89.69,58,40,3.44,scattered clouds
248,Lamar,US,33.6668,-95.5836,26.26,86,100,16.11,snow
249,Inirida,CO,3.8653,-67.9239,86.56,56,93,2.44,overcast clouds
250,Changchun,CN,43.88,125.3228,-2.24,93,11,4.14,few clouds
251,Troy,US,42.6056,-83.1499,24.44,85,100,1.99,overcast clouds
252,Hambantota,LK,6.1241,81.1185,75.54,100,20,4.61,few clouds
253,Bani Walid,LY,31.7566,13.9942,52.75,77,0,7.87,clear sky
254,Palmer,US,42.1584,-72.3287,46.33,98,100,4.61,light rain
255,Harbour Breton,CA,47.4833,-55.7983,37.99,88,100,18.72,overcast clouds
256,Sitka,US,57.0531,-135.33,37.29,93,100,6.91,light rain
257,Villa Carlos Paz,AR,-31.4241,-64.4978,82.04,55,31,6.35,light rain
258,Huambo,AO,-12.7761,15.7392,66.45,60,99,1.77,overcast clouds
259,Ambulu,ID,-8.345,113.6058,75.88,88,74,3.38,broken clouds
260,Olavarria,AR,-36.8927,-60.3225,83.79,52,96,3.96,overcast clouds
261,Goure,NE,13.9835,10.2704,68.02,16,5,10.87,clear sky
262,Isla Vista,US,34.4133,-119.861,65.79,46,0,3.44,clear sky
263,Kununurra,AU,-15.7667,128.7333,78.78,100,100,2.3,overcast clouds
264,Non Sang,TH,16.8687,102.5664,73.51,68,1,3.76,clear sky
265,Labuhan,ID,-6.8844,112.2051,76.84,88,100,8.01,overcast clouds
266,Omsukchan,RU,62.5333,155.8,-10.75,78,15,7.36,few clouds
267,Geraldton,AU,-28.7667,114.6,68.41,60,0,6.91,clear sky
