City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Yar-Sale,RU,2022-02-01 06:25:18,66.8333,70.8333,-15.23,99,51,6.17
237,Mudkhed,IN,2022-02-01 06:26:19,19.1667,77.5167,81.97,17,4,5.19
238,Riberalta,BO,2022-02-01 06:26:19,-10.9833,-66.1,72.34,93,98,2.39
239,Rodrigues Alves,BR,2022-02-01 06:26:20,-7.738,-72.6509,70.47,91,71,1.97
240,Miraflores,MX,2022-02-01 06:26:20,19.2167,-98.8083,59.04,68,23,1.52
241,La Gomera,GT,2022-02-01 06:26:21,14.0833,-91.05,77.27,84,40,1.97
242,Pont-A-Mousson,FR,2022-02-01 06:26:21,48.9079,6.0589,37.78,84,100,4.61
243,Krasnoselkup,RU,2022-02-01 06:26:22,65.7,82.4667,7.47,95,100,8.21
244,Aitape,PG,2022-02-01 06:26:23,-3.1374,142.3475,82.02,72,100,6.11
245,Marrakesh,MA,2022-02-01 06:26:23,31.6315,-8.0083,50.07,66,83,3.44
246,Batagay,RU,2022-02-01 06:26:24,67.6333,134.6333,-29.81,100,92,0.85
247,Lexington,US,2022-02-01 06:21:37,37.9887,-84.4777,34.99,72,0,5.75
248,Kemijarvi,FI,2022-02-01 06:26:24,66.7131,27.4306,-6.47,100,90,3.0
249,Mahuva,IN,2022-02-01 06:26:25,21.0914,71.7622,77.97,42,0,5.66
250,Santa Luzia,BR,2022-02-01 06:26:25,-19.7697,-43.8514,68.9,94,0,0.0
251,Great Yarmouth,GB,2022-02-01 06:26:26,52.6083,1.7305,45.95,90,100,20.74
252,Deputatskiy,RU,2022-02-01 06:22:36,69.3,139.9,-11.67,97,100,0.94
253,Samarai,PG,2022-02-01 06:26:26,-10.6167,150.6667,86.67,66,99,11.97
254,Whitehorse,CA,2022-02-01 06:22:28,60.7161,-135.0538,-17.63,64,0,2.3
255,Tura,IN,2022-02-01 06:26:27,25.5198,90.2201,69.3,41,25,6.4
256,Estepona,ES,2022-02-01 06:24:05,36.4276,-5.1459,58.91,44,0,8.16
257,San Quintin,MX,2022-02-01 06:26:27,30.4833,-115.95,56.19,81,64,8.16
258,Ambon,ID,2022-02-01 06:26:28,-3.6954,128.1814,89.74,58,40,4.61
259,Belmonte,BR,2022-02-01 06:26:28,-15.8631,-38.8828,77.5,86,5,6.93
260,Toribio,CO,2022-02-01 06:26:29,2.9548,-76.2684,60.26,95,98,1.88
261,Norman Wells,CA,2022-02-01 06:26:29,65.282,-126.8329,1.44,71,75,11.5
262,Harrison,US,2022-02-01 06:26:30,30.4091,-89.0436,57.27,87,0,14.97
263,Tabou,CI,2022-02-01 06:26:30,4.423,-7.3528,75.88,89,30,4.14
264,Quatre Cocos,MU,2022-02-01 06:26:30,-20.2078,57.7625,85.08,75,98,25.03
265,Doha,QA,2022-02-01 06:24:10,25.2867,51.5333,69.78,75,0,9.22
266,Bethel,US,2022-02-01 06:26:31,41.3712,-73.414,20.48,72,0,0.0
267,Songjianghe,CN,2022-02-01 06:26:32,42.1859,127.479,14.9,61,58,9.55
268,Asmar,AF,2022-02-01 06:26:14,35.0333,71.3581,51.58,24,0,6.08
269,Ngunguru,NZ,2022-02-01 06:26:32,-35.6167,174.5,71.17,85,89,16.02
270,Jumla,NP,2022-02-01 06:26:33,29.2747,82.1838,44.53,25,2,5.48
271,Kualakapuas,ID,2022-02-01 06:26:33,-3.0091,114.3876,91.56,42,90,4.16
272,Khatanga,RU,2022-02-01 06:26:34,71.9667,102.5,-31.67,100,20,3.83
273,Yining,CN,2022-02-01 06:26:34,29.0361,114.5636,41.7,87,100,3.76
274,Hay River,CA,2022-02-01 06:26:34,60.8156,-115.7999,-4.02,71,75,11.5
275,Kenai,US,2022-02-01 06:26:35,60.5544,-151.2583,10.09,86,0,5.75
276,Alice Springs,AU,2022-02-01 06:26:35,-23.7,133.8833,78.35,89,40,10.36
277,Rocha,UY,2022-02-01 06:26:36,-34.4833,-54.3333,54.14,74,1,2.04
278,Gwanda,ZW,2022-02-01 06:27:36,-20.9333,29.0,70.81,65,3,11.41
279,Sao Joao Da Barra,BR,2022-02-01 06:27:37,-21.6403,-41.0511,75.13,90,100,11.03
280,Port Hedland,AU,2022-02-01 06:27:37,-20.3167,118.5667,91.45,66,100,19.57
281,Muroto,JP,2022-02-01 06:27:37,33.2833,134.15,53.64,57,9,29.51
282,Khatassy,RU,2022-02-01 06:27:38,61.9036,129.6383,-18.02,90,100,7.25
283,Bam,IR,2022-02-01 06:27:39,29.106,58.357,64.38,28,0,4.85
284,Ponta Delgada,PT,2022-02-01 06:27:39,37.7333,-25.6667,57.51,71,40,6.91
285,Harper,LR,2022-02-01 06:27:39,4.375,-7.7169,76.82,87,56,4.65
286,Ahipara,NZ,2022-02-01 06:27:40,-35.1667,173.1667,71.6,77,100,15.14
287,Acari,PE,2022-02-01 06:27:40,-15.4311,-74.6158,72.07,80,74,1.68
288,Stavanger,NO,2022-02-01 06:27:41,58.9701,5.7333,37.49,94,100,8.01
289,Kurchum,KZ,2022-02-01 06:27:41,48.5722,83.6542,3.4,82,57,1.74
290,Nhulunbuy,AU,2022-02-01 06:25:14,-12.2333,136.7667,88.41,70,75,20.71
291,Broome,US,2022-02-01 06:27:42,42.2506,-75.833,15.91,77,0,6.91
292,Lima,PE,2022-02-01 06:23:50,-12.0432,-77.0282,69.39,55,0,10.36
